Date,price
1/6/2014 5:30,48.19894
1/6/2014 6:00,40.77583
1/6/2014 6:30,43.54196
1/6/2014 7:00,54.43543
1/6/2014 7:30,48.46916
1/6/2014 8:00,50.30982
1/6/2014 8:30,44.01188
1/6/2014 9:00,50.39991
1/6/2014 9:30,50.46433
1/6/2014 10:00,50.41686
1/6/2014 10:30,50.58781
1/6/2014 11:00,50.40608
1/6/2014 11:30,56.58764
1/6/2014 12:00,56.11044
1/6/2014 12:30,54.90841
1/6/2014 13:00,48.50699
1/6/2014 13:30,44.74786
1/6/2014 14:00,45.75709
1/6/2014 14:30,42.40803
1/6/2014 15:00,42.50799
1/6/2014 15:30,45.18867
1/6/2014 16:00,42.42285
1/6/2014 16:30,44.45872
1/6/2014 17:00,42.49853
1/6/2014 17:30,51.21497
1/6/2014 18:00,54.53394
1/6/2014 18:30,51.1559
1/6/2014 19:00,45.56539
1/6/2014 19:30,47.50946
1/6/2014 20:00,51.15551
1/6/2014 20:30,54.58022
1/6/2014 21:00,59.22424
1/6/2014 21:30,45.42231
1/6/2014 22:00,54.90824
1/6/2014 22:30,42.23949
1/6/2014 23:00,42.08602
1/6/2014 23:30,40.58046
1/7/2014 0:00,39.1057
1/7/2014 0:30,39.11078
1/7/2014 1:00,36.68993
1/7/2014 1:30,37.69231
1/7/2014 2:00,39.18927
1/7/2014 2:30,40.14657
1/7/2014 3:00,39.38176
1/7/2014 3:30,39.64369
1/7/2014 4:00,38.53489
1/7/2014 4:30,40.21307
1/7/2014 5:00,39.12527
1/7/2014 5:30,38.79739
1/7/2014 6:00,39.076
1/7/2014 6:30,43.50779
1/7/2014 7:00,55.37781
1/7/2014 7:30,45.29556
1/7/2014 8:00,47.7633
1/7/2014 8:30,50.45411
1/7/2014 9:00,49.80245
1/7/2014 9:30,53.07383
1/7/2014 10:00,45.35953
1/7/2014 10:30,48.52528
1/7/2014 11:00,55.34904
1/7/2014 11:30,56.31926
1/7/2014 12:00,73.62655
1/7/2014 12:30,47.22977
1/7/2014 13:00,48.32264
1/7/2014 13:30,49.68785
1/7/2014 14:00,54.83302
1/7/2014 14:30,48.43045
1/7/2014 15:00,46.70112
1/7/2014 15:30,46.62575
1/7/2014 16:00,42.46753
1/7/2014 16:30,43.47545
1/7/2014 17:00,42.37524
1/7/2014 17:30,48.03087
1/7/2014 18:00,52.15475
1/7/2014 18:30,51.94804
1/7/2014 19:00,51.98562
1/7/2014 19:30,55.21516
1/7/2014 20:00,44.97748
1/7/2014 20:30,43.23075
1/7/2014 21:00,47.74661
1/7/2014 21:30,42.12705
